,left,right,label,pen_pressure,letter_spacing,size,dimension,is_lowercase,is_continuous,slantness,tilt,entry_stroke_a,staff_of_a,formation_n,staff_of_d,exit_stroke_d,word_formation,constancy,pen_pressurej,letter_spacingj,sizej,dimensionj,is_lowercasej,is_continuousj,slantnessj,tiltj,entry_stroke_aj,staff_of_aj,formation_nj,staff_of_dj,exit_stroke_dj,word_formationj,constancyj
0,0270c_num4.png,0270c_num1.png,1,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,1,2,2,2,4,2,2
1,0270c_num4.png,0270a_num3.png,1,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,1,1,1,1,2,2,1,1,1,2,2,2,3,1,2
2,0270c_num4.png,0270b_num1.png,1,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,1,3,2,2,2,2,2,1,1,2,2,2,3,2,2
3,1165aa_num1.png,1165c_num5.png,1,2,1,3,2,2,2,3,2,2,3,2,3,1,2,2,2,2,3,3,2,2,2,2,1,3,2,3,2,1,2
4,1165aa_num1.png,1165a_num2.png,1,2,1,3,2,2,2,3,2,2,3,2,3,1,2,2,1,2,2,3,2,2,2,2,1,3,2,2,2,1,1
5,1165aa_num1.png,1165c_num4.png,1,2,1,3,2,2,2,3,2,2,3,2,3,1,2,2,2,2,3,3,2,2,2,1,1,2,2,3,1,2,2
6,1513b_num3.png,1513b_num4.png,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2
7,1513b_num3.png,1513a_num1.png,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1
8,1513b_num3.png,1513a_num2.png,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,3,2,2,2,2,1,1,2,2,2,4,2,2
9,0531c_num2.png,0531c_num1.png,1,1,2,2,2,2,2,3,1,1,2,2,2,3,1,2,1,1,2,2,2,2,2,1,1,2,2,3,4,1,2
10,0531c_num2.png,0531b_num3.png,1,1,2,2,2,2,2,3,1,1,2,2,2,3,1,2,1,2,3,2,2,1,3,1,1,3,2,2,1,1,1
11,1503a_num1.png,1503b_num1.png,1,1,2,3,2,2,2,1,1,1,2,2,1,2,2,2,1,2,3,3,2,1,2,1,1,2,2,2,2,2,2
12,1503a_num1.png,1503a_num2.png,1,1,2,3,2,2,2,1,1,1,2,2,1,2,2,2,2,1,3,3,2,1,2,1,1,2,2,2,2,2,2
13,1503a_num1.png,1503c_num4.png,1,1,2,3,2,2,2,1,1,1,2,2,1,2,2,2,1,2,3,2,2,2,2,1,1,2,2,2,2,2,1
14,0901a_num1.png,0901c_num2.png,1,1,3,3,3,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2
15,0901a_num1.png,0901b_num1.png,1,1,3,3,3,2,1,1,1,1,2,2,1,1,2,2,1,3,2,2,2,1,1,1,1,2,2,2,3,2,2
16,1073c_num5.png,1073b_num3.png,1,1,2,3,2,2,1,1,1,1,4,2,2,1,2,2,1,3,2,2,2,1,1,1,1,4,2,2,1,1,2
17,1073c_num5.png,1073b_num2.png,1,1,2,3,2,2,1,1,1,1,4,2,2,1,2,2,1,2,2,2,2,1,1,1,1,4,2,2,1,1,2
18,1073c_num5.png,1073a_num1.png,1,1,2,3,2,2,1,1,1,1,4,2,2,1,2,2,1,3,2,3,2,1,2,1,1,4,2,2,1,1,2
19,1073c_num5.png,1073c_num2.png,1,1,2,3,2,2,1,1,1,1,4,2,2,1,2,2,1,2,3,2,2,1,2,2,1,4,2,2,1,1,2
20,0715c_num3.png,0715b_num4.png,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2
21,0715c_num3.png,0715c_num5.png,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
